S.NO.,RAT,RT/PCR,POSITIVITY
1,30,70,0.19
2,59,41,0.12
3,41,59,0.1
4,50,50,0.05
5,70,30,0.05
6,43,57,0.03
7,58,42,0.03
8,59,41,0.03
9,30,70,0.02
10,44,56,0.02
11,64,36,0.02
12,46,54,0.01
13,40,60,0.01
14,41,59,0.01
15,60,40,0.01
16,48,52,0
17,40,60,0
18,52,48,0
19,41,59,0
20,33,67,0
21,40,60,0
22,52,48,0
23,75,25,0
24,16,84,0
25,35,65,0
26,37,63,0
27,35,65,0
28,67,33,0
29,34,66,0
30,35,65,0
31,52,48,0
32,55,45,0
33,55,45,0
34,55,45,0
35,39,61,0
36,50,50,0
37,47,53,0
38,51,49,0
