S.NO.,RAT,RT/PCR,POSITIVITY
1,15,85,1.17
2,93,7,1.14
3,28,72,1.13
4,11,89,1.03
5,61,39,1.02
6,46,54,0.83
7,60,40,0.77
8,53,47,0.71
9,21,79,0.62
10,56,44,0.61
11,66,34,0.6
12,45,55,0.57
13,48,52,0.53
14,54,46,0.52
15,55,45,0.43
16,23,77,0.41
17,53,47,0.4
18,52,48,0.38
19,16,84,0.31
20,40,60,0.3
21,40,60,0.3
22,71,29,0.27
23,60,40,0.23
24,58,42,0.23
25,69,31,0.22
26,5,95,0.2
27,29,71,0.2
28,51,49,0.19
29,20,80,0.17
30,66,34,0.14
31,44,56,0.12
32,75,25,0.08
33,67,33,0.06
34,12,88,0.06
35,85,15,0.04
36,35,65,0
